049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
249;053;049;049;053;049;049;053;049;049;049;053;
096;053;049;049;053;049;049;053;049;049;049;053;
096;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
049;053;049;049;053;049;049;053;049;049;049;053;
