109;106;111;105;221;213;064;001;000;050;101;209
000;000;001;000;239;312;012;000;000;101;166;206
301;002;349;000;214;164;039;000;151;000;000;211
000;301;000;101;240;052;014;000;000;248;000;205
301;000;248;201;214;119;041;000;001;255;002;211
000;248;255;168;242;319;016;305;295;294;305;307
107;184;105;110;216;119;042;000;109;104;000;013
011;302;201;000;241;319;014;000;000;205;201;017
005;000;000;148;217;168;040;201;000;164;000;016
011;002;000;201;239;001;014;000;134;056;332;017
006;266;201;000;290;136;039;000;201;168;202;019
009;000;201;000;212;113;016;311;305;311;306;309
