366;214;001;000;001;214;313;022;201;001;014;164
000;212;125;101;164;217;164;017;371;171;313;314
301;000;214;000;000;212;114;112;000;000;102;101
000;164;214;164;000;098;368;065;000;065;000;000
301;000;222;113;201;253;000;000;000;000;102;101
319;000;071;214;371;299;302;000;001;164;000;000
114;113;271;223;113;253;368;365;013;114;114;114
301;212;113;365;214;253;001;013;112;000;000;101
101;164;214;368;214;048;164;014;164;301;164;301
301;312;213;002;214;000;013;112;001;366;000;101
114;216;265;000;214;164;014;000;065;000;301;000
164;214;201;000;222;113;014;201;000;201;000;164
