366;000;001;014;001;214;014;001;219;001;019;000
319;000;064;014;000;214;014;000;214;000;038;314
301;000;000;019;000;214;014;000;214;355;153;348
114;114;114;037;000;214;014;000;214;109;105;105
301;000;000;000;102;214;019;202;000;000;000;101
314;314;314;314;319;000;000;314;314;314;314;314
000;119;114;114;114;000;000;109;105;105;105;105
301;000;000;000;002;209;014;269;000;000;000;101
314;314;319;037;000;205;014;000;037;314;314;314
301;000;000;014;000;205;014;000;219;000;001;101
164;201;101;014;000;205;019;000;214;000;038;119
000;000;201;014;201;205;000;201;214;201;014;266
