000;214;235;000;233;214;000;233;000;235;000;066
000;120;114;114;114;115;114;114;114;113;303;305
135;014;004;105;105;105;105;105;104;214;205;335
000;014;005;013;114;191;114;113;205;214;205;000
133;014;005;014;004;184;181;214;205;214;205;333
319;014;005;014;082;172;272;293;285;214;206;305
114;015;005;091;084;072;372;289;205;214;205;000
133;014;005;014;005;388;393;213;205;214;205;333
000;014;005;014;304;305;385;305;204;214;205;000
135;014;005;313;314;314;314;314;314;213;205;335
114;112;304;305;305;305;306;305;305;305;308;000
066;000;035;000;033;219;005;033;068;035;005;000
