066;000;001;000;001;000;000;001;000;001;000;000
000;173;171;000;000;000;000;000;000;371;273;000
301;271;238;119;114;114;117;114;114;114;271;101
000;000;014;237;314;314;315;319;237;219;000;000
301;000;014;219;173;171;014;000;014;214;000;101
000;000;014;214;271;068;019;000;014;214;000;000
000;000;017;214;000;219;000;071;014;217;000;000
301;000;014;214;000;214;371;373;019;214;000;101
000;000;019;237;119;115;114;114;237;214;000;000
301;071;238;314;314;317;314;314;319;214;071;101
000;073;171;000;000;000;000;000;000;371;373;000
000;000;201;000;201;000;000;201;000;067;000;000
